epoch,activation_26_loss,dense_4_loss,loss,lr,pred_loss
0,0.9574557084083557,4.617065950274467,6.297860765075684,0.001,0.7031233659744263
1,0.6379952707290649,0.2846171095132828,1.5110318404197693,0.001,0.5681098734378814
2,0.602039640212059,0.1966415934085846,1.3782774755477905,0.001,0.55917224817276
3,0.5718814715623856,0.1617975936949253,1.3080878475189208,0.001,0.553845550775528
4,0.5502636252641678,0.1391086237370968,1.2611249646186828,0.001,0.5509995633602143
5,0.5332244651675224,0.12414060914516449,1.2252767870903014,0.001,0.5469039462089539
6,0.5226834240913392,0.11500213623046875,1.203117443561554,0.001,0.544104451751709
7,0.503333704829216,0.11059789310097694,1.1780417070388793,0.001,0.5423780786037445
8,0.4780290014743805,0.10719891276955605,1.1475898911476135,0.001,0.5401657518386841
9,0.4685261024594307,0.1053256491303444,1.13769965133667,0.001,0.5410925397396088
10,0.449579969727993,0.10406469706892968,1.1189824332237244,0.001,0.5418950468540191
11,0.42748691176176074,0.1035507044494152,1.0938749444961549,0.001,0.5387926584243774
12,0.40846357516646387,0.10314561638832093,1.0768124607086182,0.001,0.540421765422821
13,0.3925354808926582,0.1015738033503294,1.0583618193626403,0.001,0.5386547225475311
14,0.3824862208843231,0.10066386870741845,1.0492251656532288,0.001,0.5396472725391388
15,0.3564844122111797,0.09989085923731326,1.0223742094039916,0.001,0.5387757000923157
16,0.3463405385136604,0.09121756073534489,1.0034009675025939,1e-04,0.538176898097992
17,0.3048687616109848,0.08804646600484849,0.9499267872810364,1e-04,0.5294506882190705
18,0.28716443945467474,0.08674198351800441,0.9295295207977295,1e-04,0.5281790863990784
19,0.2714202974975109,0.0853357990950346,0.9114712029457093,1e-04,0.5273922239303589
20,0.2566361184358597,0.08395684875249863,0.8948146277427673,1e-04,0.527018998336792
21,0.24299381566345693,0.08244115473031997,0.8790223341941833,1e-04,0.5265022769451141
22,0.22917924683243035,0.08059420995116234,0.8628852084159851,1e-04,0.5261400115013123
23,0.2155550849273801,0.07880733703970909,0.8473000133514405,1e-04,0.5260735816001892
24,0.20180921954810618,0.07672663368582726,0.8310909907341003,1e-04,0.5257915682315827
25,0.1897452594578266,0.0743309081763029,0.8164034688949585,1e-04,0.525655473613739
26,0.17656859407424927,0.07184690910875798,0.8004716674804687,1e-04,0.5254678631305695
27,0.16399761677831412,0.06929818556606769,0.7850532558441162,1e-04,0.5252412216186524
28,0.1505744925379753,0.06775711586773396,0.7702533696174622,1e-04,0.525467596244812
29,0.13770721387639642,0.06401736870855093,0.7534934412956238,1e-04,0.52537210521698
30,0.12376212494671344,0.06090558787733316,0.7362399971961975,1e-04,0.5252263446807861
31,0.11109655189067125,0.05814479065239429,0.7207751015663147,1e-04,0.5252297577857972
32,0.11805679478123784,0.057853996874392036,0.7253149002075195,1e-05,0.5231245199680329
33,0.10694883010610938,0.054951213728636504,0.7105899942398072,1e-05,0.5224169991016387
34,0.10128913374692201,0.0538160151809454,0.7037569159507752,1e-05,0.5223865214347839
35,0.09652298848107457,0.05285778439342976,0.6980859241485595,1e-05,0.5224479165554047
36,0.09270573270171881,0.05201622343063354,0.6932616713523865,1e-05,0.522290666770935
37,0.08945379425138235,0.05121440770626068,0.6890395171165467,1e-05,0.5221304016590118
38,0.08563203431665897,0.050453627166152,0.6846196692466736,1e-05,0.5223014941692352
